jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main launch
INFORMACIÓN: Installing and starting initial bundles
jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main launch
INFORMACIÓN: All initial bundles installed and set to start
jun 28, 2024 7:59:26 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Trying to lock C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\lock
jun 28, 2024 7:59:26 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Lock acquired
jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFORMACIÓN: Lock acquired. Setting startlevel to 100
2024-06-28T19:59:29,576 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.6
2024-06-28T19:59:29,576 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.4.6
2024-06-28T19:59:29,576 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.4.6
2024-06-28T19:59:29,576 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf/org.apache.karaf.event/4.4.6
2024-06-28T19:59:29,577 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.6
2024-06-28T19:59:29,577 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.4.6
2024-06-28T19:59:29,577 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.4.6
2024-06-28T19:59:29,577 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.4.6
2024-06-28T19:59:29,577 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.4.6
2024-06-28T19:59:29,577 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.4.6
2024-06-28T19:59:29,578 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.6
2024-06-28T19:59:29,578 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.6
2024-06-28T19:59:29,578 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.6
